image,variation,short_caption_bn,long_desc_bn,logic_bn,poetic_bn,visual_tags_en,context_tags_en,authenticity,safety,scene_details,color_details
100.jpg,1,একটি সুন্দর সবুজ চা বাগানের প্রাকৃতিক দৃশ্য।,"ছবিতে একটি বিস্তৃত সবুজ চা বাগান দেখা যাচ্ছে, যেখানে সারিবদ্ধ চা গাছ এবং দীর্ঘকায় কিছু ছায়াদানকারী বৃক্ষ রয়েছে। উপরে নীল আকাশে সাদা মেঘের ভেলা প্রকৃতির এক অপরূপ সৌন্দর্য ফুটিয়ে তুলেছে।",সিলেট বা শ্রীমঙ্গলের মতো পাহাড়ি অঞ্চলে চা চাষের উপযুক্ত পরিবেশের চিত্র।,সবুজ পাতার গালিচায় আকাশের নীলিমার এক শান্ত ও স্নিগ্ধ মিতালী।,"tea garden, trees, sky, clouds, green leaves, landscape, outdoor, nature","tea plantation, agriculture, scenic view, summer day, natural beauty, tourism, Bangladesh landscape",Real,Safe,"Outdoor, tea plantation, bright daylight with natural sunlight","Green, Blue, White, Brown"
100.jpg,2,একটি মনোরম চা বাগানের প্রাকৃতিক দৃশ্য।,ছবিতে একটি বিস্তীর্ণ সবুজ চা বাগান দেখা যাচ্ছে যার উপরে নীল আকাশ এবং সাদা মেঘের আনাগোনা। উঁচু গাছগুলো বাগানের সৌন্দর্য আরও বাড়িয়ে দিয়েছে এবং চারপাশ বেশ শান্ত ও স্নিগ্ধ।,পাহাড়ী অঞ্চলে চা চাষের আদর্শ পরিবেশ এবং প্রাকৃতিক সৌন্দর্যের প্রতিফলন।,সবুজের গালিচায় নীল আকাশের মিতালী প্রকৃতির এক অপরূপ কাব্যিক রূপ।,"Tea garden, green leaves, trees, blue sky, white clouds, nature, landscape, hills","Agriculture, plantation, environment, tourism, serenity, fresh air, summer day",Real,Safe. The image depicts a peaceful natural scenery without any harmful elements.,"Daytime, outdoor, tea plantation, bright sunlight","Green, blue, white, brown."
100.jpg,3,একটি সুন্দর সবুজ চা বাগান এবং উজ্জ্বল নীল আকাশ।,ছবিতে একটি বিস্তৃত সবুজ চা বাগান দেখা যাচ্ছে যা উজ্জ্বল নীল আকাশ এবং সাদা মেঘের নিচে অবস্থিত। বাগানের মাঝখানে কিছু লম্বা গাছ ছায়া দিচ্ছে এবং প্রাকৃতিকভাবে এলাকাটি শান্ত ও মনোরম দেখাচ্ছে।,এটি একটি পাহাড়ি অঞ্চলের চা বাগানের দৃশ্য যেখানে অনুকূল আবহাওয়ায় চা চাষ হচ্ছে।,সবুজের সমারোহে নীল আকাশের মিতালী প্রকৃতির এক অপরূপ কাব্যিক রূপ ফুটিয়ে তুলেছে।,"tea garden, green leaves, trees, blue sky, clouds, plantation","nature, landscape, agriculture, serene, outdoor, sunny day",Real,Safe,"Daytime, Outdoor, Bright natural lighting","Lush green, Sky blue, Cloudy white, Earthy brown"
100.jpg,4,একটি সুন্দর চা বাগানের মনোরম সবুজ দৃশ্য।,এই ছবিতে একটি বিশাল চা বাগান দেখা যাচ্ছে যেখানে সবুজ চা গাছের সারি এবং মাঝে মাঝে লম্বা ছায়াদানকারী গাছ রয়েছে। নীল আকাশে সাদা মেঘের ভেলা প্রকৃতির এক অপরূপ সৌন্দর্য ফুটিয়ে তুলেছে।,অনুকূল আবহাওয়া এবং উর্বর ভূমিতে চা চাষের একটি প্রাকৃতিক ও বাস্তব চিত্র।,সবুজের গালিচায় নীল আকাশের মিতালী হৃদয়ে এক অপার্থিব প্রশান্তি বয়ে আনে।,"tea garden, green leaves, trees, blue sky, white clouds, landscape, nature","agriculture, tea plantation, summer day, serenity, countryside, tourism",Real,Safe (Natural landscape without any harmful elements),"Daytime, Outdoor, Bright natural sunlight","Vibrant green, Sky blue, White cloud_"
100.jpg,5,একটি সুন্দর চা বাগানের মনোরম প্রাকৃতিক দৃশ্য।,ছবিতে একটি সুদূরপ্রসারী চা বাগান দেখা যাচ্ছে যা উজ্জ্বল সবুজ পাতায় পূর্ণ। বাগানের মাঝে কিছু উঁচু গাছ দাঁড়িয়ে আছে এবং পরিষ্কার নীল আকাশে তুলোর মতো সাদা মেঘ ভেসে বেড়াচ্ছে।,চা উৎপাদনের জন্য উপযুক্ত পরিবেশে তোলা একটি দিনের বেলার প্রাকৃতিক দৃশ্য।,সবুজের গালিচায় প্রকৃতির স্নিগ্ধতা আর আকাশের নীলিমার অপূর্ব এক ছন্দময় মিতালী।,"Tea garden, green leaves, tall trees, sky, clouds","Nature, plantation, landscape, serene, agriculture, daylight",Real,Safe,"Outdoor, daytime, bright natural light","Vibrant green, blue, white"
101.jpg,1,একটি সুন্দর সবুজ চা বাগানের মনোরম দৃশ্য।,ছবিতে একটি ঢালু পাহাড়ে বিস্তৃত সবুজ চা বাগান দেখা যাচ্ছে। ঘন চা গাছগুলোর মাঝে দীর্ঘ ছায়া প্রদানকারী বৃক্ষ দাঁড়িয়ে আছে এবং উজ্জ্বল সূর্যের আলো পাতার ওপর চমৎকার আভা তৈরি করেছে।,পাহাড়ি অঞ্চলে অনুকূল জলবায়ুর কারণে চা চাষের এই প্রাকৃতিক পরিবেশ গড়ে উঠেছে।,সবুজের গালিচায় প্রকৃতির স্নিগ্ধতা যেন এক শান্তিময় প্রশান্তি ছড়িয়ে দিচ্ছে।,"Tea garden, green leaves, trees, hill, sunlight, nature, plantation, foliage","Agriculture, tea cultivation, Sylhet, landscape, outdoor, summer day, eco-tourism",Real,Safe. The image shows a peaceful natural landscape without any hazards.,"Daytime, outdoor, tea plantation, bright natural sunlight.","Vibrant green, dark green, brown, light blue."
101.jpg,2,একটি মনোরম চা বাগান যেখানে সারি সারি সবুজ চা গাছ এবং ছায়াদানকারী বৃক্ষ রয়েছে।,একটি উঁচু ঢালু জমিতে বিস্তৃত চা বাগান দেখা যাচ্ছে। চারপাশের ঘন সবুজ চা গাছগুলো সূর্যের আলোয় ঝিলমিল করছে এবং উপরে লম্বা গাছগুলো বাগানটিকে ছায়া প্রদান করে এক শান্ত পরিবেশ তৈরি করেছে।,চা চাষের জন্য উপযুক্ত পাহাড়ি ঢাল এবং ছায়াযুক্ত পরিবেশ এখানে ফুটে উঠেছে।,সবুজের সমারোহে প্রকৃতির এক স্নিগ্ধ এবং প্রশান্তিময় রূপ এখানে ধরা পড়েছে।,"tea leaves, tea garden, trees, green bushes, sunlight, hill slope, vegetation","agriculture, tea plantation, nature, rural landscape, environment, serenity",Real,Safe,"Daytime, outdoor, tea plantation, bright natural sunlight","Green, light green, brown, blue"
101.jpg,3,একটি সুন্দর সবুজ চা বাগানের দৃশ্য।,"ছবির সম্মুখভাগে ঘন সবুজ চা গাছ এবং পেছনে বড় গাছপালায় ঘেরা একটি পাহাড়ের ঢাল দেখা যাচ্ছে, যা উজ্জ্বল দিবালোকে অত্যন্ত সতেজ ও মনোরম প্রাকৃতিক পরিবেশ ফুটিয়ে তুলেছে।",চা চাষের জন্য পাহাড়ের ঢালু এবং উর্বর পরিবেশ অত্যন্ত উপযোগী।,সবুজের সমারোহে প্রকৃতি যেন এক স্নিগ্ধ ও শান্তিময় চাদর বিছিয়ে রেখেছে।,"Tea leaves, tea garden, green hill, trees, sunlight, foliage, plantation","Nature, agriculture, tourism, environment, tea culture, outdoor, summer day",Real,"Safe, the image shows a natural plantation scene","Daytime, outdoor tea garden, bright natural sunlight","Bright green, dark green, brown, sky blue."
101.jpg,4,একটি সুন্দর ও সতেজ সবুজ চা বাগানের প্যানোরামিক দৃশ্য।,উজ্জ্বল দিনের আলোয় একটি পাহাড়ের ঢালে সুশৃঙ্খলভাবে সাজানো চা গাছগুলো চমৎকার দেখাচ্ছে। উপরে উঁচু গাছপালা এবং নীল আকাশের নিচে এই চা বাগানটি প্রকৃতির অপরূপ সৌন্দর্যের এক অনন্য প্রতীক।,চা চাষের জন্য উপযুক্ত পাহাড়ী ঢাল এবং অনুকূল আবহাওয়ার প্রতিফলন এই দৃশ্যে ফুটে উঠেছে।,সবুজের অরণ্যে যেন প্রকৃতির এক শান্ত ও শীতল প্রাণের ছোঁয়া মিশে আছে।,"Tea garden, green leaves, hillside, trees, sky, tea plants, plantation, nature","Agriculture, tea production, landscape, Sylhet, outdoors, freshness, environment",Real,Safe. No harmful or inappropriate content present in this natural landscape.,"Daytime, outdoor hillside, bright natural sunlight","Vibrant green, dark green, brown, sky blue."
101.jpg,5,একটি সতেজ এবং উজ্জ্বল সবুজ চা বাগানের মনোমুগ্ধকর দৃশ্য।,"ছবিতে একটি পাহাড়ের ঢালে বিস্তৃত চা বাগান দেখা যাচ্ছে, যেখানে ছোট ছোট চা গাছগুলো উজ্জ্বল সূর্যালোকের নিচে সতেজ দেখাচ্ছে। বড় গাছগুলো বাগানে ছায়া দিচ্ছে এবং প্রাকৃতিকভাবে পরিবেশকে সজীব রাখছে।",পাহাড়ি ঢালে চা চাষের জন্য উপযুক্ত পরিবেশ ও সঠিক পরিচর্যার ফলে বাগানটি এমন সতেজ।,সবুজ পাতার অরণ্যে রোদের খেলা যেন প্রকৃতির এক অবিরাম প্রশান্তির সুর।,"tea garden, tea leaves, trees, plantation, greenery, sunlight, nature, hills","agriculture, tea estate, rural landscape, outdoor photography, serenity, environmental beauty",Real,Safe. This image displays a serene natural landscape which is completely safe for all audiences.,"Daytime, outdoor tea estate, bright natural sunlight.","Vibrant green, emerald green, brown, light blue."
